date,kickoff_utc,group,home,away,city,status,result,p_home,p_draw,p_away,xg_home,xg_away,xg_total,score_1,p_score_1,score_2,p_score_2,score_3,p_score_3,p_over_2.5,p_under_2.5,p_btts,elo_home,elo_away,attack_home,defense_home,attack_away,defense_away,model_version,frozen_at
2026-06-28,,A,South Africa,Canada,Inglewood,jugado,0-1,0.2349,0.2938,0.4713,0.7564,1.1777,1.9341,0-1,0.1783,0-0,0.1409,1-1,0.1243,0.3064,0.6936,0.3653,1697.8966,1851.4771,0.979,0.6635,1.2244,0.5935,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-18,,I,France,England,Miami Gardens,jugado,4-6,0.3331,0.2689,0.3979,1.3932,1.5107,2.9039,1-1,0.1258,1-2,0.0895,0-1,0.0785,0.5533,0.4467,0.5962,2143.9726,2200.9698,1.9083,0.6061,1.7762,0.5554,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-11,2026-06-11T19:00:00+00:00,A,Mexico,South Africa,Mexico City,jugado,2-0,0.6759,0.2179,0.1062,1.7806,0.6224,2.403,1-0,0.1733,2-0,0.1472,2-1,0.103,0.4326,0.5674,0.3992,2023.1697,1697.8966,1.3832,0.5243,0.979,0.6635,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-11,2026-06-12T02:00:00+00:00,A,South Korea,Czech Republic,Zapopan,jugado,2-1,0.4495,0.2712,0.2793,1.5152,1.1466,2.6618,1-1,0.1292,1-0,0.0992,2-1,0.0915,0.4964,0.5036,0.54,1844.2331,1760.9117,1.3071,0.6652,1.2663,0.8514,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-12,2026-06-12T19:00:00+00:00,B,Canada,Bosnia and Herzegovina,Toronto,jugado,1-1,0.6257,0.2292,0.1451,1.9067,0.8024,2.7091,1-0,0.1204,2-0,0.1202,1-1,0.109,0.5079,0.4921,0.4757,1851.4771,1681.6335,1.2244,0.5935,0.9855,0.877,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-12,2026-06-13T01:00:00+00:00,D,United States,Paraguay,Inglewood,jugado,4-1,0.4184,0.2748,0.3068,1.4507,1.1939,2.6446,1-1,0.1309,1-0,0.0942,2-1,0.0865,0.4921,0.5079,0.5405,1860.6739,1902.865,1.4104,0.8281,1.0354,0.5879,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-13,2026-06-13T19:00:00+00:00,B,Qatar,Switzerland,Santa Clara,jugado,1-1,0.0733,0.1675,0.7592,0.7357,2.4546,3.1904,0-2,0.1256,0-1,0.1014,0-3,0.0998,0.6183,0.3817,0.4906,1539.192,2007.1029,0.9303,1.1309,1.5459,0.6147,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-13,2026-06-13T22:00:00+00:00,C,Brazil,Morocco,East Rutherford,jugado,1-1,0.3453,0.2942,0.3604,1.0516,1.1173,2.1689,1-1,0.1347,1-0,0.1238,0-1,0.1172,0.37,0.63,0.4378,2075.1489,2039.1695,1.8243,0.57,1.5199,0.3947,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-13,2026-06-14T01:00:00+00:00,C,Haiti,Scotland,Foxborough,jugado,0-1,0.2703,0.2653,0.4644,1.2297,1.5847,2.8143,1-1,0.1253,1-2,0.1026,0-1,0.0971,0.5334,0.4666,0.5752,1661.5815,1828.5164,1.3602,0.8863,1.205,0.7317,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-13,2026-06-14T04:00:00+00:00,D,Australia,Turkey,Vancouver,jugado,2-0,0.3781,0.2874,0.3345,1.2257,1.1079,2.3336,1-1,0.1351,1-0,0.1089,0-1,0.1072,0.4135,0.5865,0.476,1917.2192,1928.5571,1.2439,0.544,1.4228,0.7534,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-14,2026-06-14T17:00:00+00:00,E,Germany,Curaçao,Houston,jugado,7-1,0.7311,0.1748,0.0942,2.6696,0.9853,3.6549,2-1,0.0944,2-0,0.092,3-1,0.0825,0.7048,0.2952,0.5977,1996.766,1591.2036,1.8859,0.6766,1.1125,1.0196,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-14,2026-06-14T20:00:00+00:00,F,Netherlands,Japan,Arlington,jugado,2-2,0.3761,0.2767,0.3472,1.3293,1.3214,2.6507,1-1,0.1318,1-0,0.0943,2-1,0.0891,0.4938,0.5062,0.5468,2053.3527,1984.3392,1.802,0.6264,1.6661,0.5036,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
