date,team,group,champion,final,sf,model_version
2026-06-13,Netherlands,F,0.02952,0.06434,0.13435,0.2.0+c6fe93b
2026-06-13,Mexico,A,0.02833,0.06545,0.14296,0.2.0+c6fe93b
2026-06-13,Belgium,G,0.02542,0.05734,0.11865,0.2.0+c6fe93b
2026-06-13,Norway,I,0.02205,0.04992,0.10977,0.2.0+c6fe93b
2026-06-13,Switzerland,B,0.01791,0.04405,0.10273,0.2.0+c6fe93b
2026-06-13,Algeria,J,0.01783,0.04196,0.09131,0.2.0+c6fe93b
2026-06-13,Senegal,I,0.01757,0.04083,0.09205,0.2.0+c6fe93b
2026-06-13,Iran,G,0.01487,0.03768,0.08542,0.2.0+c6fe93b
2026-06-13,Uruguay,H,0.01453,0.03767,0.0833,0.2.0+c6fe93b
2026-06-13,Croatia,L,0.01264,0.0331,0.07812,0.2.0+c6fe93b
2026-06-13,South Korea,A,0.01207,0.03345,0.08732,0.2.0+c6fe93b
2026-06-13,Australia,D,0.01153,0.02965,0.07031,0.2.0+c6fe93b
2026-06-13,Turkey,D,0.01127,0.02867,0.06803,0.2.0+c6fe93b
2026-06-13,Austria,J,0.00932,0.02484,0.05788,0.2.0+c6fe93b
2026-06-13,Canada,B,0.00919,0.02572,0.06972,0.2.0+c6fe93b
2026-06-13,United States,D,0.00711,0.02171,0.0622,0.2.0+c6fe93b
2026-06-13,Ivory Coast,E,0.00696,0.01992,0.05463,0.2.0+c6fe93b
2026-06-13,Egypt,G,0.00395,0.01228,0.03522,0.2.0+c6fe93b
2026-06-13,Uzbekistan,K,0.0027,0.00894,0.02688,0.2.0+c6fe93b
2026-06-13,Scotland,C,0.00245,0.00862,0.02761,0.2.0+c6fe93b
2026-06-13,DR Congo,K,0.00208,0.00678,0.02148,0.2.0+c6fe93b
2026-06-13,Panama,L,0.00201,0.00704,0.02224,0.2.0+c6fe93b
2026-06-13,Paraguay,D,0.00165,0.00531,0.01581,0.2.0+c6fe93b
2026-06-13,Tunisia,F,0.00137,0.00437,0.015,0.2.0+c6fe93b
2026-06-13,Czech Republic,A,0.00096,0.00362,0.01433,0.2.0+c6fe93b
2026-06-13,Jordan,J,0.00086,0.00309,0.01101,0.2.0+c6fe93b
2026-06-13,New Zealand,G,0.00074,0.00325,0.012,0.2.0+c6fe93b
2026-06-13,Sweden,F,0.00073,0.00267,0.01068,0.2.0+c6fe93b
2026-06-13,Iraq,I,0.00063,0.0025,0.0096,0.2.0+c6fe93b
2026-06-13,Haiti,C,0.00063,0.00264,0.01021,0.2.0+c6fe93b
2026-06-13,Saudi Arabia,H,0.00049,0.00208,0.00873,0.2.0+c6fe93b
2026-06-13,Bosnia and Herzegovina,B,0.00029,0.00162,0.00813,0.2.0+c6fe93b
2026-06-13,South Africa,A,0.00029,0.00105,0.00505,0.2.0+c6fe93b
2026-06-13,Cape Verde,H,0.00015,0.00093,0.00421,0.2.0+c6fe93b
2026-06-13,Ghana,L,0.00013,0.00062,0.0036,0.2.0+c6fe93b
2026-06-13,Curaçao,E,4e-05,0.00039,0.00215,0.2.0+c6fe93b
2026-06-13,Qatar,B,1e-05,0.00011,0.00148,0.2.0+c6fe93b
2026-06-14,Argentina,J,0.15729,0.23764,0.35352,0.2.0+c6fe93b
2026-06-14,Spain,H,0.12706,0.20422,0.31045,0.2.0+c6fe93b
2026-06-14,England,L,0.06444,0.11809,0.20805,0.2.0+c6fe93b
2026-06-14,Morocco,C,0.05797,0.10687,0.19795,0.2.0+c6fe93b
2026-06-14,France,I,0.05624,0.10648,0.19868,0.2.0+c6fe93b
2026-06-14,Japan,F,0.04709,0.09109,0.175,0.2.0+c6fe93b
2026-06-14,Brazil,C,0.04669,0.09156,0.17769,0.2.0+c6fe93b
2026-06-14,Colombia,K,0.04299,0.08512,0.16121,0.2.0+c6fe93b
2026-06-14,Portugal,K,0.0425,0.08552,0.1595,0.2.0+c6fe93b
2026-06-14,Ecuador,E,0.03348,0.07003,0.14394,0.2.0+c6fe93b
2026-06-14,Germany,E,0.02964,0.06519,0.13807,0.2.0+c6fe93b
2026-06-14,Netherlands,F,0.0295,0.06376,0.13352,0.2.0+c6fe93b
2026-06-14,Mexico,A,0.02853,0.06567,0.14428,0.2.0+c6fe93b
2026-06-14,Australia,D,0.02517,0.05807,0.12328,0.2.0+c6fe93b
2026-06-14,Belgium,G,0.02397,0.05456,0.11431,0.2.0+c6fe93b
2026-06-14,Norway,I,0.02184,0.05006,0.10996,0.2.0+c6fe93b
2026-06-14,Algeria,J,0.01821,0.04304,0.09142,0.2.0+c6fe93b
2026-06-14,Senegal,I,0.01684,0.04047,0.09096,0.2.0+c6fe93b
2026-06-14,Iran,G,0.01536,0.03686,0.08429,0.2.0+c6fe93b
2026-06-14,Uruguay,H,0.01453,0.03693,0.08292,0.2.0+c6fe93b
2026-06-14,Croatia,L,0.01405,0.03463,0.07959,0.2.0+c6fe93b
2026-06-14,Switzerland,B,0.0133,0.03314,0.07964,0.2.0+c6fe93b
2026-06-14,South Korea,A,0.01224,0.03253,0.0889,0.2.0+c6fe93b
2026-06-14,Canada,B,0.00959,0.02643,0.06931,0.2.0+c6fe93b
2026-06-14,Austria,J,0.00899,0.02319,0.05728,0.2.0+c6fe93b
2026-06-14,United States,D,0.00754,0.02305,0.06275,0.2.0+c6fe93b
2026-06-14,Ivory Coast,E,0.00747,0.02007,0.05447,0.2.0+c6fe93b
2026-06-14,Scotland,C,0.00507,0.01593,0.04701,0.2.0+c6fe93b
2026-06-14,Egypt,G,0.00385,0.01255,0.03535,0.2.0+c6fe93b
2026-06-14,Turkey,D,0.00374,0.01118,0.03064,0.2.0+c6fe93b
2026-06-14,Uzbekistan,K,0.00278,0.00898,0.02704,0.2.0+c6fe93b
2026-06-14,Panama,L,0.00203,0.00687,0.02211,0.2.0+c6fe93b
2026-06-14,DR Congo,K,0.00188,0.00696,0.02112,0.2.0+c6fe93b
2026-06-14,Paraguay,D,0.00167,0.00535,0.01586,0.2.0+c6fe93b
2026-06-14,Tunisia,F,0.00105,0.00419,0.01492,0.2.0+c6fe93b
2026-06-14,Czech Republic,A,0.00102,0.00366,0.01359,0.2.0+c6fe93b
2026-06-14,Jordan,J,0.00082,0.00328,0.01155,0.2.0+c6fe93b
2026-06-14,New Zealand,G,0.00073,0.00326,0.01185,0.2.0+c6fe93b
2026-06-14,Iraq,I,0.00059,0.0024,0.00896,0.2.0+c6fe93b
2026-06-14,Saudi Arabia,H,0.00056,0.00222,0.00859,0.2.0+c6fe93b
2026-06-14,Sweden,F,0.00053,0.00264,0.01084,0.2.0+c6fe93b
2026-06-14,South Africa,A,0.00028,0.0012,0.00551,0.2.0+c6fe93b
2026-06-14,Haiti,C,0.00025,0.00102,0.00391,0.2.0+c6fe93b
2026-06-14,Bosnia and Herzegovina,B,0.00021,0.00133,0.00723,0.2.0+c6fe93b
2026-06-14,Cape Verde,H,0.00017,0.00089,0.00454,0.2.0+c6fe93b
2026-06-14,Ghana,L,0.00014,0.00092,0.00387,0.2.0+c6fe93b
2026-06-14,Curaçao,E,7e-05,0.00042,0.00216,0.2.0+c6fe93b
2026-06-14,Qatar,B,4e-05,0.00048,0.00241,0.2.0+c6fe93b
2026-06-15,Argentina,J,0.15882,0.24069,0.35449,0.2.0+c6fe93b
2026-06-15,Spain,H,0.12894,0.20581,0.30966,0.2.0+c6fe93b
2026-06-15,England,L,0.06451,0.11813,0.20825,0.2.0+c6fe93b
2026-06-15,France,I,0.05661,0.10521,0.19652,0.2.0+c6fe93b
2026-06-15,Morocco,C,0.05622,0.1057,0.19758,0.2.0+c6fe93b
2026-06-15,Germany,E,0.04465,0.09213,0.18696,0.2.0+c6fe93b
2026-06-15,Brazil,C,0.04442,0.08887,0.17678,0.2.0+c6fe93b
2026-06-15,Japan,F,0.04381,0.08605,0.16683,0.2.0+c6fe93b
2026-06-15,Portugal,K,0.04282,0.08625,0.16017,0.2.0+c6fe93b
2026-06-15,Colombia,K,0.04245,0.08447,0.15911,0.2.0+c6fe93b
2026-06-15,Netherlands,F,0.03059,0.0657,0.13614,0.2.0+c6fe93b
2026-06-15,Mexico,A,0.02864,0.06421,0.14071,0.2.0+c6fe93b
2026-06-15,Australia,D,0.02446,0.05627,0.11986,0.2.0+c6fe93b
2026-06-15,Belgium,G,0.02344,0.05505,0.11552,0.2.0+c6fe93b
2026-06-15,Norway,I,0.02149,0.04895,0.10704,0.2.0+c6fe93b
2026-06-15,Algeria,J,0.01827,0.04261,0.09021,0.2.0+c6fe93b
2026-06-15,Ecuador,E,0.01783,0.03958,0.08601,0.2.0+c6fe93b
2026-06-15,Senegal,I,0.01641,0.03886,0.0886,0.2.0+c6fe93b
2026-06-15,Iran,G,0.01497,0.03688,0.08214,0.2.0+c6fe93b
2026-06-15,Uruguay,H,0.01429,0.03564,0.08187,0.2.0+c6fe93b
2026-06-15,Ivory Coast,E,0.01417,0.03646,0.0934,0.2.0+c6fe93b
2026-06-15,Croatia,L,0.01327,0.0326,0.07693,0.2.0+c6fe93b
2026-06-15,Switzerland,B,0.01293,0.03366,0.08052,0.2.0+c6fe93b
2026-06-15,South Korea,A,0.01162,0.03326,0.08805,0.2.0+c6fe93b
2026-06-15,Canada,B,0.00967,0.02565,0.06784,0.2.0+c6fe93b
2026-06-15,Austria,J,0.00866,0.02299,0.05473,0.2.0+c6fe93b
2026-06-15,United States,D,0.00805,0.02298,0.06248,0.2.0+c6fe93b
2026-06-15,Scotland,C,0.00465,0.0152,0.04659,0.2.0+c6fe93b
2026-06-15,Turkey,D,0.00397,0.01101,0.02926,0.2.0+c6fe93b
2026-06-15,Egypt,G,0.00396,0.01299,0.03638,0.2.0+c6fe93b
2026-06-15,Uzbekistan,K,0.00273,0.00879,0.02647,0.2.0+c6fe93b
2026-06-15,Sweden,F,0.00268,0.00994,0.03436,0.2.0+c6fe93b
2026-06-15,DR Congo,K,0.00202,0.00642,0.02045,0.2.0+c6fe93b
2026-06-15,Panama,L,0.00167,0.00625,0.02081,0.2.0+c6fe93b
2026-06-15,Paraguay,D,0.00156,0.00461,0.01485,0.2.0+c6fe93b
2026-06-15,Czech Republic,A,0.00098,0.0037,0.013,0.2.0+c6fe93b
2026-06-15,Jordan,J,0.00084,0.00312,0.01108,0.2.0+c6fe93b
2026-06-15,New Zealand,G,0.00073,0.00302,0.01124,0.2.0+c6fe93b
2026-06-15,Iraq,I,0.00064,0.00232,0.00875,0.2.0+c6fe93b
2026-06-15,Saudi Arabia,H,0.00044,0.00198,0.00819,0.2.0+c6fe93b
2026-06-15,South Africa,A,0.0003,0.00127,0.00562,0.2.0+c6fe93b
2026-06-15,Cape Verde,H,0.00019,0.00091,0.0043,0.2.0+c6fe93b
2026-06-15,Bosnia and Herzegovina,B,0.00019,0.00142,0.00779,0.2.0+c6fe93b
2026-06-15,Haiti,C,0.00019,0.00078,0.00381,0.2.0+c6fe93b
2026-06-15,Tunisia,F,0.0001,0.00058,0.00239,0.2.0+c6fe93b
2026-06-15,Ghana,L,0.0001,0.00065,0.00344,0.2.0+c6fe93b
2026-06-15,Qatar,B,3e-05,0.00032,0.00244,0.2.0+c6fe93b
2026-06-15,Curaçao,E,2e-05,6e-05,0.00038,0.2.0+c6fe93b
2026-06-16,Argentina,J,0.16922,0.25086,0.36801,0.2.0+9c55de6
2026-06-16,Spain,H,0.10921,0.17648,0.27235,0.2.0+9c55de6
2026-06-16,England,L,0.06677,0.11957,0.21274,0.2.0+9c55de6
2026-06-16,France,I,0.05784,0.10871,0.19796,0.2.0+9c55de6
2026-06-16,Morocco,C,0.05693,0.10578,0.19503,0.2.0+9c55de6
2026-06-16,Brazil,C,0.04514,0.08984,0.17434,0.2.0+9c55de6
2026-06-16,Portugal,K,0.04503,0.08825,0.16404,0.2.0+9c55de6
2026-06-16,Japan,F,0.04468,0.08801,0.16874,0.2.0+9c55de6
2026-06-16,Germany,E,0.04455,0.09255,0.18545,0.2.0+9c55de6
2026-06-16,Colombia,K,0.04376,0.08773,0.165,0.2.0+9c55de6
2026-06-16,Netherlands,F,0.03147,0.06743,0.13681,0.2.0+9c55de6
2026-06-16,Mexico,A,0.02808,0.06379,0.13875,0.2.0+9c55de6
2026-06-16,Australia,D,0.02486,0.05824,0.12495,0.2.0+9c55de6
2026-06-16,Norway,I,0.02281,0.05082,0.10866,0.2.0+9c55de6
2026-06-16,Belgium,G,0.02092,0.04866,0.10412,0.2.0+9c55de6
2026-06-16,Algeria,J,0.02028,0.04695,0.09949,0.2.0+9c55de6
2026-06-16,Ecuador,E,0.01875,0.04076,0.0871,0.2.0+9c55de6
2026-06-16,Senegal,I,0.01664,0.03977,0.08998,0.2.0+9c55de6
2026-06-16,Ivory Coast,E,0.0145,0.03773,0.09369,0.2.0+9c55de6
2026-06-16,Switzerland,B,0.01372,0.0352,0.08276,0.2.0+9c55de6
2026-06-16,Croatia,L,0.01366,0.03408,0.07968,0.2.0+9c55de6
2026-06-16,South Korea,A,0.01222,0.0334,0.08709,0.2.0+9c55de6
2026-06-16,Iran,G,0.01083,0.02803,0.0671,0.2.0+9c55de6
2026-06-16,Uruguay,H,0.01053,0.02807,0.06581,0.2.0+9c55de6
2026-06-16,Canada,B,0.00955,0.02598,0.06756,0.2.0+9c55de6
2026-06-16,Austria,J,0.0094,0.02558,0.06161,0.2.0+9c55de6
2026-06-16,United States,D,0.00822,0.02411,0.06591,0.2.0+9c55de6
2026-06-16,Egypt,G,0.00482,0.01459,0.04107,0.2.0+9c55de6
2026-06-16,Scotland,C,0.00455,0.015,0.04613,0.2.0+9c55de6
2026-06-16,Turkey,D,0.00413,0.01129,0.03052,0.2.0+9c55de6
2026-06-16,Sweden,F,0.00288,0.0112,0.03625,0.2.0+9c55de6
2026-06-16,Uzbekistan,K,0.00273,0.00889,0.02736,0.2.0+9c55de6
2026-06-16,DR Congo,K,0.00203,0.0071,0.02237,0.2.0+9c55de6
2026-06-16,Panama,L,0.00198,0.00702,0.02351,0.2.0+9c55de6
2026-06-16,Paraguay,D,0.00168,0.00516,0.01538,0.2.0+9c55de6
2026-06-16,Czech Republic,A,0.00104,0.00383,0.01349,0.2.0+9c55de6
2026-06-16,Jordan,J,0.00095,0.00366,0.01241,0.2.0+9c55de6
2026-06-16,New Zealand,G,0.00093,0.00379,0.01447,0.2.0+9c55de6
2026-06-16,Iraq,I,0.00063,0.00248,0.00919,0.2.0+9c55de6
2026-06-16,Saudi Arabia,H,0.00058,0.00251,0.01037,0.2.0+9c55de6
2026-06-16,Haiti,C,0.0003,0.00104,0.00405,0.2.0+9c55de6
2026-06-16,Cape Verde,H,0.00029,0.00177,0.00799,0.2.0+9c55de6
2026-06-16,Bosnia and Herzegovina,B,0.00027,0.00162,0.00775,0.2.0+9c55de6
2026-06-16,South Africa,A,0.00022,0.00106,0.00483,0.2.0+9c55de6
2026-06-16,Tunisia,F,0.00019,0.00054,0.00195,0.2.0+9c55de6
2026-06-16,Ghana,L,0.00017,0.00068,0.00348,0.2.0+9c55de6
2026-06-16,Qatar,B,5e-05,0.00034,0.00238,0.2.0+9c55de6
2026-06-16,Curaçao,E,1e-05,5e-05,0.00032,0.2.0+9c55de6
2026-06-17,Argentina,J,0.20566,0.29854,0.43035,0.2.0+c7f5512
2026-06-17,Spain,H,0.1015,0.1727,0.26974,0.2.0+c7f5512
2026-06-17,France,I,0.07608,0.13937,0.24921,0.2.0+c7f5512
2026-06-17,England,L,0.06114,0.11225,0.20725,0.2.0+c7f5512
2026-06-17,Morocco,C,0.05308,0.10179,0.19022,0.2.0+c7f5512
2026-06-17,Brazil,C,0.04288,0.08519,0.16753,0.2.0+c7f5512
2026-06-17,Germany,E,0.04235,0.08927,0.1774,0.2.0+c7f5512
2026-06-17,Portugal,K,0.04132,0.08303,0.16042,0.2.0+c7f5512
2026-06-17,Japan,F,0.04103,0.08282,0.16361,0.2.0+c7f5512
2026-06-17,Colombia,K,0.03927,0.08058,0.1564,0.2.0+c7f5512
2026-06-17,Norway,I,0.03333,0.07374,0.15663,0.2.0+c7f5512
2026-06-17,Netherlands,F,0.02897,0.06312,0.13225,0.2.0+c7f5512
2026-06-17,Mexico,A,0.02539,0.05939,0.1373,0.2.0+c7f5512
2026-06-17,Australia,D,0.02345,0.0566,0.12223,0.2.0+c7f5512
2026-06-17,Belgium,G,0.0203,0.04775,0.10131,0.2.0+c7f5512
2026-06-17,Austria,J,0.01749,0.04596,0.10422,0.2.0+c7f5512
2026-06-17,Ecuador,E,0.01623,0.03665,0.08322,0.2.0+c7f5512
2026-06-17,Croatia,L,0.01348,0.03338,0.08033,0.2.0+c7f5512
2026-06-17,Ivory Coast,E,0.01279,0.0344,0.08796,0.2.0+c7f5512
2026-06-17,Switzerland,B,0.01261,0.03258,0.07691,0.2.0+c7f5512
2026-06-17,South Korea,A,0.01199,0.03404,0.08544,0.2.0+c7f5512
2026-06-17,Algeria,J,0.01026,0.02636,0.05957,0.2.0+c7f5512
2026-06-17,Uruguay,H,0.00974,0.02564,0.06095,0.2.0+c7f5512
2026-06-17,Iran,G,0.00956,0.02549,0.06191,0.2.0+c7f5512
2026-06-17,Senegal,I,0.00843,0.02204,0.0543,0.2.0+c7f5512
2026-06-17,Canada,B,0.00826,0.02366,0.06264,0.2.0+c7f5512
2026-06-17,United States,D,0.0072,0.02206,0.06197,0.2.0+c7f5512
2026-06-17,Scotland,C,0.00412,0.01434,0.04276,0.2.0+c7f5512
2026-06-17,Egypt,G,0.00401,0.01282,0.03714,0.2.0+c7f5512
2026-06-17,Turkey,D,0.00342,0.0099,0.02653,0.2.0+c7f5512
2026-06-17,Uzbekistan,K,0.00277,0.00859,0.02613,0.2.0+c7f5512
2026-06-17,Sweden,F,0.0026,0.00979,0.03343,0.2.0+c7f5512
2026-06-17,DR Congo,K,0.0022,0.00698,0.02213,0.2.0+c7f5512
2026-06-17,Panama,L,0.00192,0.007,0.02352,0.2.0+c7f5512
2026-06-17,Paraguay,D,0.00117,0.00443,0.01306,0.2.0+c7f5512
2026-06-17,New Zealand,G,0.0011,0.0039,0.01388,0.2.0+c7f5512
2026-06-17,Czech Republic,A,0.00076,0.00357,0.01368,0.2.0+c7f5512
2026-06-17,Saudi Arabia,H,0.00057,0.00242,0.00962,0.2.0+c7f5512
2026-06-17,Bosnia and Herzegovina,B,0.00032,0.00153,0.0073,0.2.0+c7f5512
2026-06-17,Cape Verde,H,0.00024,0.00147,0.00702,0.2.0+c7f5512
2026-06-17,Haiti,C,0.00023,0.00084,0.00335,0.2.0+c7f5512
2026-06-17,Jordan,J,0.00021,0.00096,0.00366,0.2.0+c7f5512
2026-06-17,South Africa,A,0.0002,0.00106,0.00494,0.2.0+c7f5512
2026-06-17,Ghana,L,0.00014,0.00064,0.00363,0.2.0+c7f5512
2026-06-17,Iraq,I,0.00011,0.00056,0.00249,0.2.0+c7f5512
2026-06-17,Tunisia,F,8e-05,0.00044,0.00199,0.2.0+c7f5512
2026-06-17,Qatar,B,3e-05,0.00029,0.00203,0.2.0+c7f5512
2026-06-17,Curaçao,E,1e-05,7e-05,0.00044,0.2.0+c7f5512
2026-06-18,Argentina,J,0.20369,0.29713,0.43196,0.2.0+07b892b
2026-06-18,Spain,H,0.10242,0.17486,0.27611,0.2.0+07b892b
2026-06-18,France,I,0.07478,0.13872,0.24729,0.2.0+07b892b
2026-06-18,England,L,0.07441,0.13181,0.24713,0.2.0+07b892b
2026-06-18,Colombia,K,0.05764,0.11234,0.21116,0.2.0+07b892b
2026-06-18,Morocco,C,0.05062,0.09834,0.18527,0.2.0+07b892b
2026-06-18,Brazil,C,0.0406,0.08399,0.1641,0.2.0+07b892b
2026-06-18,Germany,E,0.04058,0.08775,0.17433,0.2.0+07b892b
2026-06-18,Japan,F,0.04044,0.08152,0.15846,0.2.0+07b892b
2026-06-18,Portugal,K,0.03413,0.07213,0.14255,0.2.0+07b892b
2026-06-18,Norway,I,0.03232,0.07254,0.15234,0.2.0+07b892b
2026-06-18,Netherlands,F,0.02768,0.06104,0.12885,0.2.0+07b892b
2026-06-18,Mexico,A,0.02561,0.0575,0.13015,0.2.0+07b892b
2026-06-18,Australia,D,0.02263,0.05471,0.12122,0.2.0+07b892b
2026-06-18,Belgium,G,0.0195,0.04631,0.10081,0.2.0+07b892b
2026-06-18,Austria,J,0.0176,0.04659,0.10759,0.2.0+07b892b
2026-06-18,Ecuador,E,0.01659,0.03691,0.08251,0.2.0+07b892b
2026-06-18,Ivory Coast,E,0.01247,0.03304,0.08532,0.2.0+07b892b
2026-06-18,Switzerland,B,0.01157,0.03151,0.07485,0.2.0+07b892b
2026-06-18,South Korea,A,0.01092,0.03191,0.0837,0.2.0+07b892b
2026-06-18,Algeria,J,0.01089,0.02743,0.06238,0.2.0+07b892b
2026-06-18,Uruguay,H,0.01002,0.02589,0.06182,0.2.0+07b892b
2026-06-18,Iran,G,0.00903,0.02517,0.06164,0.2.0+07b892b
2026-06-18,Senegal,I,0.00867,0.02226,0.05607,0.2.0+07b892b
2026-06-18,Canada,B,0.0078,0.0231,0.06267,0.2.0+07b892b
2026-06-18,Croatia,L,0.00691,0.0203,0.05237,0.2.0+07b892b
2026-06-18,United States,D,0.00667,0.02117,0.06095,0.2.0+07b892b
2026-06-18,Scotland,C,0.00434,0.01436,0.04273,0.2.0+07b892b
2026-06-18,Egypt,G,0.00415,0.01335,0.03729,0.2.0+07b892b
2026-06-18,Turkey,D,0.00353,0.01027,0.02871,0.2.0+07b892b
2026-06-18,Sweden,F,0.00278,0.00945,0.0324,0.2.0+07b892b
2026-06-18,DR Congo,K,0.0024,0.00895,0.02784,0.2.0+07b892b
2026-06-18,Paraguay,D,0.00132,0.00439,0.01399,0.2.0+07b892b
2026-06-18,Uzbekistan,K,0.00109,0.00418,0.01332,0.2.0+07b892b
2026-06-18,New Zealand,G,0.00084,0.00364,0.0133,0.2.0+07b892b
2026-06-18,Saudi Arabia,H,0.00059,0.00229,0.00937,0.2.0+07b892b
2026-06-18,Panama,L,0.00055,0.00199,0.00709,0.2.0+07b892b
2026-06-18,Ghana,L,0.00047,0.00254,0.01161,0.2.0+07b892b
2026-06-18,Czech Republic,A,0.00035,0.00147,0.00551,0.2.0+07b892b
2026-06-18,Cape Verde,H,0.0003,0.00157,0.00725,0.2.0+07b892b
2026-06-18,Bosnia and Herzegovina,B,0.00026,0.00149,0.00701,0.2.0+07b892b
2026-06-18,Jordan,J,0.00022,0.0011,0.00449,0.2.0+07b892b
2026-06-18,Haiti,C,0.00019,0.0007,0.00342,0.2.0+07b892b
2026-06-18,Iraq,I,0.00015,0.00062,0.00283,0.2.0+07b892b
2026-06-18,South Africa,A,0.00014,0.00084,0.00373,0.2.0+07b892b
2026-06-18,Tunisia,F,0.0001,0.00049,0.00204,0.2.0+07b892b
2026-06-18,Qatar,B,3e-05,0.00029,0.00195,0.2.0+07b892b
2026-06-18,Curaçao,E,1e-05,5e-05,0.00052,0.2.0+07b892b
2026-06-19,Argentina,J,0.20015,0.29187,0.42871,0.2.0+c6ca91b
2026-06-19,Spain,H,0.10062,0.17286,0.27296,0.2.0+c6ca91b
